#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;Auckland;;;;;;;;;;;;x
PROV2;Kaipura;;;;;;;;;;;;x
PROV3;Mataura;;;;;;;;;;;;x
PROV4;Russell;;;;;;;;;;;;x
PROV5;Northland;;;;;;;;;;;;x
PROV6;Coromandel;;;;;;;;;;;;x
PROV7;Raglan;;;;;;;;;;;;x
PROV8;Hamilton;;;;;;;;;;;;x
PROV9;Mokau;;;;;;;;;;;;x
PROV10;Whangamomona;;;;;;;;;;;;x
PROV11;Tongariro;;;;;;;;;;;;x
PROV12;Paparangi;;;;;;;;;;;;x
PROV13;Tauranga;;;;;;;;;;;;x
PROV14;Opotiki;;;;;;;;;;;;x
PROV15;Waihau Bay;;;;;;;;;;;;x
PROV16;Taupo;;;;;;;;;;;;x
PROV17;Waikite;;;;;;;;;;;;x
PROV18;Kaimanawa;;;;;;;;;;;;x
PROV19;Otuku;;;;;;;;;;;;x
PROV20;Mangamahu;;;;;;;;;;;;x
PROV21;Palmerston;;;;;;;;;;;;x
PROV22;Akitio;;;;;;;;;;;;x
PROV23;Herbertville;;;;;;;;;;;;x
PROV24;Dannevirke;;;;;;;;;;;;x
PROV25;Taihape;;;;;;;;;;;;x
PROV26;Sherenden;;;;;;;;;;;;x
PROV27;Hastings;;;;;;;;;;;;x
PROV28;Hawkes Bay;;;;;;;;;;;;x
PROV29;Te Haroto;;;;;;;;;;;;x
PROV30;Te Urewera;;;;;;;;;;;;x
PROV31;Frasertown;;;;;;;;;;;;x
PROV32;Gisborne;;;;;;;;;;;;x
PROV33;Mahia;;;;;;;;;;;;x
PROV34;Ruatoria;;;;;;;;;;;;x
PROV35;Wellington;;;;;;;;;;;;x
PROV36;Levin;;;;;;;;;;;;x
PROV37;Masterton;;;;;;;;;;;;x
PROV38;Castlepoint;;;;;;;;;;;;x
PROV39;Plymouth;;;;;;;;;;;;x
PROV40;Stratford;;;;;;;;;;;;x
